"","season","scenario","model","value.past","value.present","value.future","change"
"85","other","rcp60","csiro-mk3-6-0",1.41589891067538,2.60386711111111,4.32251087962963,2.90661196895425
"88","spring","rcp60","csiro-mk3-6-0",8.08645947712418,9.21993733333333,10.8798694444444,2.79340996732026
"91","other","rcp85","csiro-mk3-6-0",1.41589891067538,2.98369155555556,6.19047291666667,4.77457400599129
"94","spring","rcp85","csiro-mk3-6-0",8.08645947712418,9.67186066666667,12.67021875,4.58375927287582
"97","other","rcp26","fio-esm",1.41512055192447,2.2758562962963,1.9073549382716,0.492234386347131
"100","spring","rcp26","fio-esm",8.08606318082789,8.73971555555556,8.37608101851852,0.290017837690632
"103","other","rcp45","fio-esm",1.41512055192447,2.34008296296296,2.86683719135802,1.45171663943355
"106","spring","rcp45","fio-esm",8.08606318082789,8.86031333333333,9.13658333333333,1.05052015250545
"109","other","rcp60","fio-esm",1.41512055192447,2.30731851851852,3.1797700617284,1.76464950980392
"112","spring","rcp60","fio-esm",8.08606318082789,8.67685555555556,9.37987962962963,1.29381644880174
"115","other","rcp85","fio-esm",1.41512055192447,2.67037037037037,4.64510956790123,3.22998901597676
"118","spring","rcp85","fio-esm",8.08606318082789,9.17619333333333,10.7214675925926,2.63540441176471
"121","other","rcp26","gfdl-cm3",1.42588017429194,3.45867555555556,4.60637731481481,3.18049714052288
"124","spring","rcp26","gfdl-cm3",8.09164052287582,10.7192866666667,12.0725347222222,3.98089419934641
"127","other","rcp45","gfdl-cm3",1.42588017429194,3.50776222222222,5.54975925925926,4.12387908496732
"130","spring","rcp45","gfdl-cm3",8.09164052287582,10.6373333333333,12.6618333333333,4.57019281045752
"133","other","rcp60","gfdl-cm3",1.42588017429194,3.22354222222222,5.73785185185185,4.31197167755991
"136","spring","rcp60","gfdl-cm3",8.09164052287582,10.7486666666667,12.7608819444444,4.66924142156863
"139","other","rcp85","gfdl-cm3",1.42588017429194,3.64068444444444,7.35636342592593,5.93048325163399
"142","spring","rcp85","gfdl-cm3",8.09164052287582,10.91754,14.0672222222222,5.9755816993464
"145","other","rcp26","gfdl-esm2g",1.46744444444444,2.79937333333333,2.68233101851852,1.21488657407407
"148","spring","rcp26","gfdl-esm2g",8.10205882352941,9.94795333333333,9.24436111111111,1.1423022875817
"151","other","rcp45","gfdl-esm2g",1.46744444444444,2.78261333333333,3.4684837962963,2.00103935185185
"154","spring","rcp45","gfdl-esm2g",8.10205882352941,9.76432,10.9637152777778,2.86165645424837
"157","other","rcp60","gfdl-esm2g",1.46744444444444,2.67547111111111,3.8005625,2.33311805555556
"160","spring","rcp60","gfdl-esm2g",8.10205882352941,9.22168,10.9715208333333,2.86946200980392
"163","other","rcp85","gfdl-esm2g",1.46744444444444,2.83230444444444,5.07521759259259,3.60777314814815
"166","spring","rcp85","gfdl-esm2g",8.10205882352941,9.70063333333333,12.5886388888889,4.48658006535948
"169","other","rcp26","gfdl-esm2m",1.43338779956427,2.40820222222222,2.42300694444444,0.989619144880174
"172","spring","rcp26","gfdl-esm2m",8.12888888888889,9.38442666666667,9.62286805555556,1.49397916666667
"175","other","rcp45","gfdl-esm2m",1.43338779956427,2.43005111111111,2.93268981481481,1.49930201525054
"178","spring","rcp45","gfdl-esm2m",8.12888888888889,9.55724,10.4253472222222,2.29645833333333
"181","other","rcp60","gfdl-esm2m",1.43338779956427,2.43736444444444,3.52805092592593,2.09466312636166
"184","spring","rcp60","gfdl-esm2m",8.12888888888889,9.42614,10.8952986111111,2.76640972222222
"187","other","rcp85","gfdl-esm2m",1.43338779956427,2.48153111111111,4.75085185185185,3.31746405228758
"190","spring","rcp85","gfdl-esm2m",8.12888888888889,9.49924,12.1847083333333,4.05581944444444
"193","other","rcp26","giss-e2-r",1.43533333333333,2.37209777777778,2.10333101851852,0.667997685185185
"196","spring","rcp26","giss-e2-r",8.10970588235294,8.72965333333333,8.9101875,0.800481617647058
"199","other","rcp45","giss-e2-r",1.43229760348584,2.40833288888889,3.34643888888889,1.91414128540305
"202","spring","rcp45","giss-e2-r",8.06921437908497,8.92799466666667,9.83447638888889,1.76526200980392
"205","other","rcp60","giss-e2-r",1.43533333333333,2.50191777777778,3.47278472222222,2.03745138888889
"208","spring","rcp60","giss-e2-r",8.10970588235294,9.06131333333333,10.0591319444444,1.9494260620915
"211","other","rcp85","giss-e2-r",1.43533333333333,2.52751333333333,4.52079398148148,3.08546064814815
"214","spring","rcp85","giss-e2-r",8.10970588235294,9.34919333333333,11.5038819444444,3.3941760620915
"217","other","rcp26","hadgem2-ao",1.45961873638344,3.27491777777778,4.00110416666667,2.54148543028322
"220","spring","rcp26","hadgem2-ao",8.1116339869281,9.62486666666667,10.0590486111111,1.94741462418301
"223","other","rcp45","hadgem2-ao",1.45961873638344,3.99658444444444,6.41410185185185,4.95448311546841
"226","spring","rcp45","hadgem2-ao",8.1116339869281,10.31492,11.8335763888889,3.72194240196078
"229","other","rcp60","hadgem2-ao",1.45961873638344,3.19804444444444,5.57857638888889,4.11895765250545
"232","spring","rcp60","hadgem2-ao",8.1116339869281,9.29264,11.2773958333333,3.16576184640523
"235","other","rcp85","hadgem2-ao",1.45961873638344,3.95326888888889,8.05491898148148,6.59530024509804
"238","spring","rcp85","hadgem2-ao",8.1116339869281,9.84958,13.4541875,5.34255351307189
"241","other","rcp26","hadgem2-es",1.4115462962963,3.25212666666667,3.73164988425926,2.32010358796296
"244","spring","rcp26","hadgem2-es",8.07480718954248,9.734755,10.256921875,2.18211468545752
